image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
1854, 36.689446687698364, 1.0488612651824951, 530306, 1044922, 1575228, 35, 0.018548161190924006, 99956, 1978.0638258444324, 1941.374379156734, 0.0011043589900061601
1908, 37.733317136764526, 1.043870449066162, 529712, 1022982, 1552694, 36, 0.019088398895514027, 99956, 1976.7670061438337, 1939.0336890070691, 0.0012056871537995395
1962, 38.78138566017151, 1.0480685234069824, 529966, 1002359, 1532325, 37, 0.019628636600104044, 99956, 1975.755445998014, 1936.9740603378425, 0.0010621933393438754
2016, 39.836639642715454, 1.0552539825439453, 530700, 982452, 1513151, 38, 0.020168874304694065, 99956, 1975.1543413329694, 1935.317701690254, 0.000855126912386095
2070, 40.88268184661865, 1.0460422039031982, 530173, 963843, 1494016, 39, 0.020709112009284086, 99956, 1974.1397809954656, 1933.257099148847, 0.0010647360583780907
2124, 41.92590093612671, 1.0432190895080566, 530432, 945921, 1476353, 40, 0.021249349713874103, 99956, 1973.0439519639745, 1931.1180510278477, 0.0011064478293864033
2178, 42.96825575828552, 1.0423548221588135, 529836, 928400, 1458236, 41, 0.021789587418464124, 99956, 1971.9627973256142, 1928.9945415673287, 0.0010996269541309056
2232, 44.02477788925171, 1.0565221309661865, 529973, 911682, 1441655, 42, 0.022329825123054144, 99956, 1971.5684133951809, 1927.5436355059292, 0.0007521566443732253
2286, 45.07006049156189, 1.0452826023101807, 529619, 895442, 1425061, 43, 0.022870062827644165, 99956, 1970.7012101900962, 1925.6311496985343, 0.00099218807406809
2340, 46.11195397377014, 1.041893482208252, 528857, 879849, 1408705, 44, 0.023410300532234182, 99956, 1969.7292612829779, 1923.6173073092077, 0.0010458090011900012
2394, 47.15370225906372, 1.041748285293579, 528458, 865039, 1393497, 45, 0.023950538236824203, 99956, 1968.7950973295629, 1921.6413950704991, 0.001027185725144375
2448, 48.20269465446472, 1.048992395401001, 528362, 851298, 1379660, 46, 0.024490775941414224, 99956, 1968.197935817678, 1919.9952411632132, 0.0008566394913789299
2502, 49.24101400375366, 1.0383193492889404, 528578, 837649, 1366227, 47, 0.02503101364600424, 99956, 1967.2001581771387, 1917.959144173385, 0.0010604698106411181
2556, 50.28753733634949, 1.0465233325958252, 528494, 824778, 1353272, 48, 0.02557125135059426, 99956, 1966.5653685415296, 1916.27783120518, 0.0008766156324615526
2610, 51.33595061302185, 1.0484132766723633, 527884, 812310, 1340195, 49, 0.026111489055184282, 99956, 1966.0292258525717, 1914.6932752395498, 0.0008268926038943469
2664, 52.38096237182617, 1.0450117588043213, 527942, 800316, 1328258, 50, 0.0266517267597743, 99956, 1965.387190254601, 1913.0062278827747, 0.00088110580352041
2718, 53.431148290634155, 1.0501859188079834, 527699, 788620, 1316319, 51, 0.02719196446436432, 99956, 1964.9609486897084, 1911.5298003990742, 0.0007717839399480342
2772, 54.48210549354553, 1.050957202911377, 527620, 777684, 1305304, 52, 0.02773220216895434, 99956, 1964.5791257982817, 1910.0970203047361, 0.0007495463026728766
2826, 55.52473783493042, 1.0426323413848877, 527264, 766678, 1293942, 53, 0.02827243987354436, 99956, 1963.9174433928893, 1908.3927055579588, 0.0008922660622261436
2880, 56.56468939781189, 1.0399515628814697, 526461, 756642, 1283103, 54, 0.02881267757813438, 99956, 1963.187532447113, 1906.622843049301, 0.0009274100155084453
2934, 57.60407471656799, 1.0393853187561035, 525920, 746448, 1272369, 55, 0.0293529152827244, 99956, 1962.4651984898671, 1904.8611237732991, 0.0009239998788561632
