image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
1098, 51.00837159156799, 1.083000898361206, 475899, 1701978, 2177878, 47, 0.021969666653327464, 49978, 2321.763565941152, 2270.755194349584, 0.001130121962696351
1122, 52.09337019920349, 1.084998607635498, 476544, 1693684, 2170228, 48, 0.02244987794629637, 49978, 2320.429996270759, 2268.3366260715557, 0.0010650942400337593
1146, 53.17337083816528, 1.080000638961792, 476812, 1686004, 2162816, 49, 0.02293008923926528, 49978, 2318.9343174082237, 2265.7609465700584, 0.0011354926212860939
1170, 54.26037049293518, 1.0869996547698975, 478928, 1676818, 2155746, 50, 0.023410300532234182, 49978, 2317.7989713640295, 2263.5386008710943, 0.000980838557716468
1194, 55.34537076950073, 1.0850002765655518, 480910, 1667371, 2148282, 51, 0.02389051182520309, 49978, 2316.625578155869, 2261.280207386368, 0.0009977269589558357
1218, 56.42237067222595, 1.0769999027252197, 482626, 1656821, 2139448, 52, 0.024370723118171997, 49978, 2315.170148979071, 2258.7477783068452, 0.0011199094527298836
1242, 57.49937057495117, 1.0769999027252197, 484650, 1646656, 2131306, 53, 0.0248509344111409, 49978, 2313.770968272874, 2256.271597697923, 0.001096262554280636
1266, 58.57837152481079, 1.0790009498596191, 485424, 1636671, 2122095, 54, 0.025331145704109808, 49978, 2312.5038325963615, 2253.9254610715507, 0.0010398289943311934
1290, 59.65837073326111, 1.0799992084503174, 486732, 1626218, 2112950, 55, 0.025811356997078715, 49978, 2311.3225213231967, 2251.6641505899356, 0.001003276514982887
1314, 60.73837065696716, 1.0799999237060547, 488155, 1616748, 2104903, 56, 0.026291568290047623, 49978, 2310.18439017801, 2249.4460195210427, 0.0009851074230194934
1338, 61.81937098503113, 1.0810003280639648, 489995, 1606714, 2096709, 57, 0.026771779583016526, 49978, 2309.1244567188983, 2247.305085733867, 0.0009517604639525112
1362, 62.8993706703186, 1.0799996852874756, 491844, 1596804, 2088648, 58, 0.027251990875985434, 49978, 2308.0651595897084, 2245.16578891939, 0.0009519387590308792
1386, 63.98137164115906, 1.082000970840454, 491722, 1586681, 2078403, 59, 0.02773220216895434, 49978, 2307.1147127574654, 2243.1333411163064, 0.0009052551099407724
1410, 65.06537079811096, 1.0839991569519043, 493964, 1576100, 2070064, 60, 0.028212413461923245, 49978, 2306.2674480482196, 2241.2020772501087, 0.0008609670369558176
1434, 66.14737057685852, 1.0819997787475586, 495869, 1565678, 2061547, 61, 0.028692624754892152, 49978, 2305.3788610113215, 2239.231490434463, 0.0008792544124640589
1458, 67.22637057304382, 1.0789999961853027, 498152, 1554888, 2053040, 62, 0.02917283604786106, 49978, 2304.416699931128, 2237.190329358084, 0.0009115453605839097
1482, 68.30337071418762, 1.0770001411437988, 498066, 1545330, 2043396, 63, 0.029653047340829967, 49978, 2303.4182601576713, 2235.1148894434837, 0.0009276993054032623
1506, 69.38137173652649, 1.0780010223388672, 499472, 1535095, 2034567, 64, 0.03013325863379887, 49978, 2302.4848583320854, 2233.103486595559, 0.0008999102719169372
1530, 70.45837068557739, 1.0769989490509033, 500010, 1525026, 2025036, 65, 0.030613469926767778, 49978, 2301.5480066168543, 2231.089635931277, 0.0009018169898395989
